,Year-Week-rank,TV
0,2022-016-1,Business Proposal
1,2022-016-2,Twenty Five Twenty One
2,2022-016-3,Let's Open
3,2022-016-4,Thirty-Nine
4,2022-016-5,Our Blues
5,2022-016-6,Tomorrow
6,2022-016-7,Forecasting Love and Weather
7,2022-016-8,Falling Into Your Smile
8,2022-016-9,Black Dog
9,2022-016-10,Reset
10,2022-017-1,Business Proposal
11,2022-017-2,Twenty Five Twenty One
12,2022-017-3,Let's Open
13,2022-017-4,Who Rules The World
14,2022-017-5,Our Blues
15,2022-017-6,Falling Into Your Smile
16,2022-017-7,Tomorrow
17,2022-017-8,Thirty-Nine
18,2022-017-9,Forecasting Love and Weather
19,2022-017-10,Love Marriage Divorce
20,2022-018-1,Who Rules The World
21,2022-018-2,The Oath of Love
22,2022-018-3,Let's Open
23,2022-018-4,Our Blues
24,2022-018-5,Business Proposal
25,2022-018-6,Twenty Five Twenty One
26,2022-018-7,Tomorrow
27,2022-018-8,My Liberation Notes
28,2022-018-9,Falling Into Your Smile
29,2022-018-10,Love Marriage Divorce
30,2022-019-1,Who Rules The World
31,2022-019-2,The Oath of Love
32,2022-019-3,Let's Open
33,2022-019-4,Our Blues
34,2022-019-5,Twenty Five Twenty One
35,2022-019-6,Business Proposal
36,2022-019-7,My Liberation Notes
37,2022-019-8,Tomorrow
38,2022-019-9,?Mad Doctor
39,2022-019-10,SPY x FAMILY
40,2022-020-1,Who Rules The World
41,2022-020-2,Our Blues
42,2022-020-3,Let's Open
43,2022-020-4,?Mad Doctor
44,2022-020-5,The Oath of Love
45,2022-020-6,Tomorrow
46,2022-020-7,My Liberation Notes
47,2022-020-8,Twenty Five Twenty One
48,2022-020-9,Business Proposal
49,2022-020-10,SPY x FAMILY
50,2022-021-1,Who Rules The World
51,2022-021-2,?Mad Doctor
52,2022-021-3,Our Blues
53,2022-021-4,My Liberation Notes
54,2022-021-5,Tomorrow
55,2022-021-6,Let's Open
56,2022-021-7,Twenty Five Twenty One
57,2022-021-8,"Love, Death &amp; Robots"
58,2022-021-9,SPY x FAMILY
59,2022-021-10,The Oath of Love
